german,english
Archäologie,
Experimental nuclear power plant at the Jülich nuclear research facility,
Bitte vor der Vergabe als HZ bei Personenschlagworten überprüfen ob es sich tatsächlich um einen Techniker oder um einen Ingenieur handelt.,
Sonnenheizung,
Kühlung,
Abdichtung,
Verkapselung,
Göpel,
Mechanikerin für Land- und Baumaschinentechnik,
Mechaniker für Land- und Baumaschinentechnik,
Kupplung,
Straßenwalze,
Schürfkübelwagen,
Rüttelwalze,
Straßenfahrzeug,
Lagerung,
Geländefahrzeug,
Abgasuntersuchung,
Abgassonderuntersuchung,
Flugkörper,
Königsberg class 1927-1945,
Flugzeugträger,
Fördermittel,
Passive Sicherheit,
Zerstörer,
Überschallflugzeug,
Militärflugzeug,
Bölkow Bo 208 Junior,
Bölkow Junior,
Dampflokomotiven der ehem. bayerischen Baureihe S 3/6 Bauart 1923-1931,
Schülerwettbewerb,
Geländewagen,
Elektrolok der Schweizerischen Bundesbahnen,
Straßenbahntyp der Wiener Verkehrsbetriebe,
Straßenbahn,
ÖBB Series 1018,
ÖBB series 1020,
ÖBB 1020,
ÖBB Series 1118,
ÖBB Series 1570,
ÖBB Series 1670,
Zündapp KS 601,
Güterzuglokomotive,
Württemberg T 3 steam locomotive,
ÖBB Series 1110,
ÖBB series 1010,
ÖBB 1010,
ÖBB U series,
Tragflügel,
Verpackung,
"Als am 1.1.1968 ein neues Schema zur Bezeichnung von Triebfahrzeugen in Kraft trat, wurde die BR V100 in BR 211, 212 bzw. 213 umbenannt.",
Güterwagen,
ÖBB Series 1016,
ÖBB Series 1116,
Bücker Bü 131 Jungmann,
Bü 134,
Bücker Bü 134,
Hildebrand & Wolfmüller brand,
Hildebrand-Wolfmüller,
Kraweelbeplankung,
Bäumer B IV,
Karosserie- und Fahrzeugbaumechaniker,
Karosserie- und Fahrzeugbauer,
Straßenbahnwagen,
Historischer Triebwagen der Wiener Straßenbahn,
"Aufzug,Fördermittel",
Württemberg T 5 steam locomotive,
Air-Metal AM C-111,
Air-Metal AM-C 111,
AM C-111,
Bölkow 209,
Bölkow Monsoon,
Bölkow 209 Monsoon,
Bölkow Bo 209 Monsoon,
ÖBB 2050,
ÖBB series 2050,
Münch brand,
WSK-PZL Mielec An-2 Antek,
Mielec An-2 Antek,
An-2 Antek,
Trägerrakete,
Aufklärungsflugzeug,
Militärhubschrauber,
Württemberg T 9 steam locomotive,
Messerschmitt-Bölkow-Blohm HFB 320 Hansa,
Haeßler-Villinger HV-1,
Großraumwagen,
Büssing Type 4000,
Zündapp KS 50,
ÖBB 2095,
ÖBB series 2095,
ÖBB Series 1044,
ÖBB 1044,
Düsenflugzeug,
Schlörwagen,
Göttingen egg,
Schlüter brand,
Köf 10 series diesel locomotive,
Köf 11 series diesel locomotive,
Köf 12 series diesel locomotive,
Militärfahrzeug,
"Hourdeaux-Bergmann-Aktiengesellschaft,Frankonia,Brand",
AM General M809,
Württemberg T 6 steam locomotive,
Bäumer Sausewind,
Bäumer Aero Sausewind,
Bäumer B II Sausewind,
ÖBB Series 1073,
BBÖ 1029,
ÖBB 656,
Pützer Elster,
ÖBB 1042,
ÖBB series 1042,
ÖBB 1142,
ÖBB series 1142,
ÖBB Series 4010,
ÖBB Transalpin II,
ÖBB 4010,
Büssing Prefect 25,
Büssing Senator 25,
Büssing/Vetter 4000 TS,
ÖBB Series 4020,
ÖBB 4020,
ÖBB Series 4030,
ÖBB 4030,
ÖBB Series 1141,
ÖBB 1141,
ÖBB Series 1822,
ÖBB 1822,
Fokker-Grulich F.II,
Katharina von Bora ship,
Güldner AFN,
ÖBB 4041,
BBÖ ET 10,
Single-phase AC railcar BBÖ ET 10,
ÖBB 4041 single-phase AC railcar,
Railcar ÖBB 4041,
Railcar BBÖ ET 10,
Diesel locomotive ÖBB 2091,
Diesel locomotive BBÖ 2041/s,
ÖBB Series 4061,
ÖBB 4061,
ÖBB Series 1046,
ÖBB 1046,
ÖBB Series 1146,
ÖBB 1146,
ÖBB Series 4060,
ÖBB 4060,
BBÖ ET 30,
ÖBB Series 1040,
ÖBB 1040,
DÜWAG-Gelenkwagen,
ÖBB 5041,
ÖBB series 5041,
BBÖ VT 41,
ÖBB 2048,
Nurflügelflugzeug,
ÖBB 1099,
NÖLB E,
NÖVOG 1099,
ÖBB Series 1099,
ÖBB Electric locomotives 1099,
ÖBB Electric locomotives BR 1099,
BBÖ Series E,
Münch Special 500,
Münch Special,
"Münch,brand",
ÖBB series 2043,
ÖBB 2043,
"Österr. Diesellokomotive, hergestellt von 1964-1977",
ÖBB series 2143,
ÖBB 2143,
ÖBB series 2045,
ÖBB 2045,
ÖBB 90,
Stetigförderer,
Flurförderer,
Schiffsausrüstung,
ÖBB 5045,
ÖBB series 5045,
"In den 1950er-Jahren in Österreich gebaute Schnellzug-Dieseltriebwagen, die unter dem Namen Blauer Blitz bekannt wurden.",
ÖBB 5145,
ÖBB series 5145,
"Zerspanungsmechaniker, Fachrichtung Drehtechnik",
Gießer,
Verchromung,
Fertigung,
"Gießen,Urformen",
Schweißer,
Spanende Bearbeitung,
Metallformer und Metallgießer,
Metall- und Glockengießer,
Benutzt für das Produkt,
Open-die forging,
Bördeleisen,
Glockengießer,
Sägemaschine,
Drückwalzen,
Oberflächenbeschichter,
Glockengießerin,
"Seit 1998 mit den Ausbildungsberufen ""Zinngießer"" und ""Metallformer und Metallgießer"" zum neuen Handwerksberuf ""Metall- und Glockengießer"" zusammengefasst",
Metallformerin und Metallgießerin,
Metall- und Glockengießerin,
Münztechnik,
Reibschweißen,
Kunststoffschweißen,
Hybridfügen,
Hybridschweißen,
Laserschweißen,
Punktschweißen,
"Rapid Prototyping,Fertigung",
Fräsen,
Oberflächenbehandlung,
Endabmessungsnahe Fertigung,
Großuhr,
Büromaschine,
Türklingel,
Türglocke,
Anhängeruhr,
Sprung deck clock,
"An altar clock is a period clock with an altar-like wooden case, the front of which is modeled on baroque altars with columns and a sprung pediment, sometimes even with a painted altar leaf.",
Gehängeuhr,
Wellenspannung,
Elektrische Spannung,
Rühmkorff coil,
Nachrichtenübertragungstechnik,
"Used for electronics work for amateurs without specific application goals (e.g. for titles such as ""300 Schaltungen für den Hobby-Elektroniker"" or ""Das kleine Elektronik-Bastelbuch""). f Instructions are not considered pleonastic. If a meaningful SW from electronics is used, it is combined with -s Selbstbau; f Anleitung (e.g. s Hifi; -s Selbstbau; f Anleitung).",
Filterschaltung,
Funkstörung,
Signalisierung,
Elektronikmüll,
AM-RDS,
Kundenspezifische Schaltung,
Digitaler Empfänger,
Breitbandübertragung,
Digitaler Hörfunk,
Paketvermittlung,
Abspielgerät,
Rundfunkempfänger,
FuMG 62 Würzburg,
Mit SW Empfängerdiversity bzw. Antennendiversity wird ggf verknüpft.,
Mit Polarisationsmehrfachempfang bzw Raumdiversity wird ggf verknüpft.,
Simonetta Stereo-Großsuper ST 6501,
Tonbandgerät,
